Order,Family,Species,English_name,Subspecies,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System,Display,Resource,References
Passeriformes,Pomatostomidae,Pomatostomus superciliosus,White-browed Babbler,ashbyi,44.4,13,42,35,,,89.9,5,87.5,6,,,29.4,5,28.7,5,,,30,5,29.5,6,,,80.8,13,78.5,6,,,3,3.58,2,2,,"1, 22, 31"
Passeriformes,Pomatostomidae,Pomatostomus halli,Hall's Babbler,,40,11,39.9,10,,,84.3,11,83.3,10,,,23.5,11,22.7,10,,,27.1,11,25.6,10,,,87.4,11,85.6,10,,,2,,2,,,"1, 22"
Passeriformes,Pomatostomidae,Pomatostomus ruficeps,Chestnut-crowned Babbler,,54.5,3,51,4,,,87.9,16,87.4,9,,,28.6,16,28.6,9,,,29.7,16,29.5,9,,,86.8,16,85.7,9,,,4,4.15,2,,2,"1, 22, 31"
Passeriformes,Laniidae,Lanius collurio,Red-backed Shrike,,28.9,34,32.5,11,,,94.9,54,93.2,32,,,24,27,23.6,20,,,18.5,61,18.2,34,,,76.5,10,74.1,10,,,5,3.15,,5,1,"15, 27, 31"
Passeriformes,Laniidae,Lanius isabellinus,Rufous-tailed Shrike,,31.5,20,30.2,8,,,93.7,10,92.4,7,,,24.8,10,24.5,7,,,17.9,10,17.9,7,,,80.6,10,80.1,10,,,,,,,1,"15, 27"
Passeriformes,Laniidae,Lanius cristatus,Brown Shrike,,34.5,,33.1,,30,,87.9,13,86.8,18,,,25.2,14,25.6,18,,,20.1,14,19.8,18,,,84.5,14,82.1,17,,,,3.2,2,,,"1, 15, 31"
Passeriformes,Laniidae,Lanius gubernator,Emin's Shrike,,,,,,,,,,,,80.5,11,,,,,24,11,,,,,13.5,11,,,,,63,11,,,,,1,27
Passeriformes,Laniidae,Lanius souzae,Souza's Shrike,,27,12,25.7,11,,,81.3,22,81.6,24,,,,,,,,,,,,,,,81.6,22,79.5,24,,,2.6,2.9,,,1,"27, 31"
Passeriformes,Laniidae,Lanius schach,Long-tailed Shrike,,38,,33,,36,,97.7,21,95.9,11,,,29.1,11,28.3,11,,,21.3,11,20.3,11,,,111.2,11,105.9,12,,,,4.85,2,,,"1, 15, 31"
Passeriformes,Laniidae,Lanius minor,Lesser Grey Shrike,,45.9,7,47.2,5,,,119.3,26,120.4,9,,,25.3,18,25.2,13,,,21,20,21.5,14,,,91.4,10,90.4,10,,,5.5,4.3,,3,,"15, 27, 31"
Passeriformes,Laniidae,Lanius ludovicianus,Loggerhead Shrike,,,,,,47.7,105,96.4,41,,,,,,,,,,,12.8,42,,,,,98.9,40,,,,,5.4,4.6,,,,"7, 31"
Passeriformes,Laniidae,Lanius excubitor,Northern Shrike,,,,,,63.4,44,113.8,35,112.6,38,,,27.4,20,27.2,18,,,23,25,22.4,19,,,109.1,35,107.5,31,,,5.5,5.3,,4,1,"15, 31"
Passeriformes,Laniidae,Lanius excubitoroides,Grey-backed Fiscal,,55.3,42,52.2,26,,,113,8,115,4,,,,,,,29.25,10,,,,,16.6,10,139,6,137,4,,,2.8,4.24,,1,1,"27, 31"
Passeriformes,Laniidae,Lanius cabanisi,Long-tailed Fiscal,,77.3,3,72,2,,,,,,,112,4,,,,,,,30,4,,,18.5,4,,,,,165,4,3,4.6,,,1,"27, 31"
Passeriformes,Laniidae,Lanius dorsalis,Teita Fiscal,,56.3,3,56,1,,,,,,,100,4,,,,,,,,,,,,,,,,,92.7,4,3.5,,,,1,27
Passeriformes,Laniidae,Lanius somalicus,Somali Fiscal,,56.3,3,56,1,,,,,,,100,4,,,,,,,,,,,17,,,,,,92.7,4,4,4.2,,,2,"27, 31"
Passeriformes,Laniidae,Lanius mackinnoni,Mackinnon's Shrike,,33.3,9,35.3,10,,,100.5,16,98,16,,,,,,,24.5,32,,,,,15.5,32,100.5,16,98,16,,,2.5,3.35,,,2,"27, 31"
Passeriformes,Laniidae,Lanius collaris,Common Fiscal,,41.8,84,39.8,69,,,,,,,98.9,14,,,,,27.5,10,,,,,19.5,14,,,,,106.5,10,3,4.1,2,3,2,"1, 27, 31"
Passeriformes,Laniidae,Lanius newtoni,Newton's Fiscal,,,,,,,,93,10,89.5,5,,,,,,,24.5,14,13.8,7,12.5,4,,,114,10,107.5,2,,,,,,,2,27
Passeriformes,Laniidae,Lanius senator,Woodchat Shrike,,34.6,49,37.4,44,,,100.5,24,99.7,11,,,24.6,17,24.7,13,,,18.8,34,19,23,,,78,17,78.4,13,,,4.9,3.4,,3,1,"15, 31"
Passeriformes,Laniidae,Lanius nubicus,Masked Shrike,,21.6,4,24,1,25,11,90.7,48,91.1,22,,,22.7,18,22.8,16,,,18.2,51,18.2,23,,,86.6,31,86.3,15,,,5.5,2.65,,1,1,"15, 27, 31"
Passeriformes,Laniidae,Corvinella corvina,Yellow-billed Shrike,,,,,,65.4,11,124.5,7,120.5,6,,,31,7,30,6,,,17.25,7,17.25,6,,,,,,,,,4,4.16,,,,"27, 31"
Passeriformes,Laniidae,Corvinella melanoleuca,Magpie Shrike,,82.3,22,82.4,12,,,140,10,140,10,,,,,,,,,,,,,,,,,,,,,,5.5,,,,"27, 31"
Passeriformes,Laniidae,Eurocephalus rueppelli,White-rumped Shrike,,48.4,12,52.9,10,,,,,,,131,41,,,,,,,,,,,,,,,,,94.5,41,,6.3,,,,"27, 31"
Passeriformes,Laniidae,Eurocephalus anguitimens,White-crowned Shrike,,68,13,70.1,9,,,,,,,136,11,,,,,24,11,,,,,17.5,11,,,,,108,11,3.5,6.11,,4,1,"27, 31"
Passeriformes,Vireonidae,Vireo brevipennis,Slaty Vireo,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo bellii,Bell's Vireo,,10.3,,9.3,,8.5,33,,,,,55.1,178,,,,,,,,,,,,,,,,,47.8,177,3.4,1.48,2,,,"1, 6, 7, 31"
Passeriformes,Vireonidae,Vireo atricapillus,Black-capped Vireo,,9.2,13,8.5,,8.5,,55.52,85,55.21,7,,,19.13,67,18.66,6,,,7.81,83,7.78,7,,,43.8,85,42.6,7,,,4,1.59,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo nelsoni,Dwarf Vireo,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo huttoni,Hutton's Vireo,huttoni,10.8,42,11,34,11.6,,60.5,138,60.2,118,,,19.5,137,19.5,118,,,,,,,,,48,137,48,117,,,4,1.65,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo carmioli,Yellow-winged Vireo,,,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo griseus,White-eyed Vireo,noveboracensis,11.5,40,11.7,6,,,61.3,11,60.5,13,,,,,19.7,13,,,10,11,10.1,13,,,47.7,41,48.1,4,,,3.74,1.95,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo pallens,Mangrove Vireo,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo bairdi,Cozumel Vireo,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo crassirostris,Thick-billed Vireo,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,2,,,"1, 31"
Passeriformes,Vireonidae,Vireo caribaeus,St. Andrew Vireo,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo vicinior,Grey Vireo,,12.1,21,12.7,4,12.8,,65,30,64,19,,,19.6,,19.3,,,,,,,,,,59.5,20,56.5,20,,,3.07,1.8,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo modestus,Jamaican Vireo,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,,,"1, 31"
Passeriformes,Vireonidae,Vireo latimeri,Puerto Rican Vireo,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo cassinii,Cassin's Vireo,,,,,,14.6,18,,,,,71.5,26,,,,,,,,,,,,,51.5,35,51.4,15,,,3.61,2.14,,,,"7, 31"
Passeriformes,Vireonidae,Vireo plumbeus,Plumbeous Vireo,,15.8,14,16.7,5,,,80.1,30,79.3,13,,,19.9,31,20.3,13,,,10.6,31,10.9,13,,,57.4,31,56.9,13,,,3.74,,,,,7
Passeriformes,Vireonidae,Vireo solitarius,Blue-headed Vireo,solitarius,15.3,33,15.4,12,16.6,,74.1,117,73.4,24,,,18,104,18.4,18,,,9.8,90,10,45,,,52.4,109,51.5,24,,,3.86,2.16,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo flavifrons,Yellow-throated Vireo,,,,,,18,16,75.8,35,76.3,14,,,18.9,24,19.1,8,,,11.2,29,11.2,12,,,49.2,16,48.4,10,,,3.6,2.4,2,,,"1, 7, 13, 31"
Passeriformes,Vireonidae,Vireo philadelphicus,Philadelphia Vireo,,,,,,12.2,116,68.3,,67.1,,,,17.2,,17.7,,,,13.5,,13.4,,,,45.9,15,43.9,9,,,3.65,1.9,2,,,"1, 7, 13, 31"
Passeriformes,Vireonidae,Vireo olivaceus,Red-eyed Vireo,,17.2,,15.6,,17.0895,,,,,,,,18.6,18,18.3,18,,,,,,,,,52.1,19,49.1,18,,,3.18,2.33,2,,,"1, 7, 13, 31"
Passeriformes,Vireonidae,Vireo altiloquus,Black-whiskered Vireo,altiloqus,,,,,17.9,27,81,31,78,16,,,19.9,11,18.1,7,,,16.7,11,15.7,7,,,53.8,5,50,3,,,2.66,2.7,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Vireo magister,Yucatan Vireo,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Vireonidae,Vireo gilvus,Eastern Warbling-Vireo,swainsoni,11.3,33,12.1,110,13.218,,65.53,32,64.17,108,,,,,,,,,,,,,,,48.5,32,50,18,,,3.42,1.66,2,,,"1, 7, 31"
Passeriformes,Vireonidae,Hylophilus aurantiifrons,Golden-fronted Greenlet,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,2,,,"1, 31"
Passeriformes,Vireonidae,Hylophilus ochraceiceps,Tawny-crowned Greenlet,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2,,,"1, 31"
Passeriformes,Vireonidae,Hylophilus decurtatus minor,Lesser Greenlet ssp.,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,2,,,"1, 31"
Passeriformes,Vireonidae,Psophodes olivaceus,Eastern Whipbird,olivaceus,68.2,19,56,12,,,99.9,26,95.6,18,,,32.9,26,31.5,18,,,23.8,26,22.6,18,,,143.4,26,132.4,18,,,2,5.94,2,2,2,"1, 22, 31"
Passeriformes,Psophodidae,Psophodes nigrogularis,Western Whipbird,nigrogularis,46,11,43.1,12,,,78.8,10,76.7,12,,,28.2,10,27.2,12,,,21.4,11,20.3,12,,,113.8,10,110.8,12,,,2,5.95,2,1,2,"1, 22, 31"
Passeriformes,Psophodidae,Psophodes occidentalis,Chiming Wedgebill,,43.3,6,36.3,5,,,82.9,22,78.5,9,,,25.1,22,24.5,9,,,16.4,22,16.1,9,,,103.7,22,98.9,6,,,2.5,,,,,22
Passeriformes,Psophodidae,Psophodes cristatus,Chirruping Wedgebill,,42.4,22,39.1,18,,,82.9,24,78.8,19,,,23.9,24,23.7,18,,,15.8,23,15.1,19,,,99.4,10,98.4,10,,,2.5,3.9,2,1,1,"1, 22, 31"
Passeriformes,Psophodidae,Cinclosoma punctatum,Spotted Quail-thrush,punctatum,119.5,15,106.9,10,,,113.7,23,109.6,14,,,32.9,23,32.3,14,,,22.3,23,20.7,14,,,112.2,23,114.9,14,,,2,9,2,1,2,"1, 22, 31"
Passeriformes,Psophodidae,Cinclosoma castanotus,Chestnut Quail-thrush,castanotus,74.6,24,69.6,18,,,101.8,18,97.4,12,,,30.4,19,29.9,12,,,22,18,21.5,10,,,100.3,18,95.3,12,,,2,7.55,,1,2,"22, 31"
Passeriformes,Psophodidae,Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,marginatum,60.8,62,58.7,41,,,93.6,30,90.5,28,,,29.7,29,28.7,28,,,19.6,29,19.1,26,,,98.8,16,64.4,14,,,2,,2,1,,"1, 22"
Passeriformes,Psophodidae,Cinclosoma cinnamomeum,Cinnamon Quail-thrush,cinnamomeum,59.1,17,56.7,13,,,87.6,28,85.3,18,,,27.6,28,27,18,,,19.4,27,18.7,16,,,79.8,28,78.2,17,,,2,8,2,,,"1, 22, 31"
Passeriformes,Psophodidae,Cinclosoma ajax,Painted Quail-thrush,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Psophodidae,Ptilorrhoa caerulescens,Blue Jewel-babbler,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Corcoracidae,Struthidea cinerea,Apostlebird,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Neosittidae,Daphoenositta chrysoptera,Varied Sittella,leucoptera,11.7,17,11.7,12,,,80.6,20,78.5,13,,,14.5,20,15.2,13,,,16.2,20,15.3,12,,,38,78,37.7,39,,,3,,2,1,1,"1, 22"
Passeriformes,Acanthizidae,Mohoua albicilla,Whitehead,,18,19,14,18,,,72.5,22,67.7,11,,,26.8,20,25.6,11,,,13.9,20,12.9,11,,,67.7,15,65.2,21,,,3,2.65,2,3,,"22, 31"
Passeriformes,Acanthizidae,Mohoua ochrocephala,Yellowhead,,29.5,19,26,13,,,82.6,20,77.4,14,,,33,20,31.8,14,,,15.1,10,15.1,5,,,65.3,31,61.6,22,,,3,3.55,2,1,,"22, 31"
Passeriformes,Acanthizidae,Mohoua novaeseelandiae,Pipipi,,13.4,51,11,24,,,61,26,56.9,18,,,27.3,50,26.1,25,,,13,50,12.4,25,,,61.4,11,58.1,7,,,3,2,2,3,2,22
Passeriformes,Pachycephalidae,Falcunculus frontatus,Crested Shrike-tit,,30.5,29,25.6,19,,,93.4,32,88,18,,,20.5,32,19.8,20,,,19.3,32,18.2,19,,,84.1,14,75.6,7,,,3,3.26,2,1,2,"1, 22, 31"
Passeriformes,Oreoicidae,Oreoica gutturalis,Crested Bellbird,gutturalis,64.4,19,67.7,7,,,108.9,38,105.5,15,,,27.9,40,27.3,16,,,21.1,40,20.2,15,,,78.6,40,77.6,16,,,2.5,6.25,2,1,1,"1, 22, 31"
Passeriformes,Oreoicidae,Aleadryas rufinucha,Rufous-naped Whistler,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Pachycephalidae,Pachycephala olivacea,Olive Whistler,apatetes,41.1,20,41.4,18,,,97.7,20,95.5,8,,,29.7,19,29.8,8,,,19,19,18.7,8,,,91,17,90.5,8,,,2.5,5.6,2,,1,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala rufogularis,Red-lored Whistler,,36.9,5,36.5,3,,,112.2,27,109.6,7,,,25.2,25,24.9,7,,,19.4,25,19.1,7,,,84.7,4,,,,,2,3.44,2,,2,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala inornata,Gilbert's Whistler,,30.9,32,30.6,25,,,101.6,36,97.5,15,,,24.5,35,24.3,15,,,17.6,33,17.7,15,,,91.8,31,88.9,27,,,2.5,3.6,2,2,1,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala simplex,Brown Whistler,peninsulae,16.8,11,16.6,8,,,78.5,15,75.8,11,,,18.7,14,18.8,11,,,15.6,15,15.2,11,,,57.3,31,56,27,,,2,2.84,2,,,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala pectoralis,Golden Whistler,youngi,26.7,38,26,20,,,98.5,33,96,26,,,21.7,33,21.8,23,,,16.2,32,16.5,23,,,,,,,,,2.5,3.66,2,1,1,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala soror,Sclater's Whistler,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,2,,,"1, 31"
Passeriformes,Pachycephalidae,Pachycephala melanura,Black-tailed Whistler,robusta,23.6,16,24.1,7,,,86.2,24,82.8,12,,,23,24,22.6,12,,,19.4,24,18.6,12,,,65.4,52,65.2,48,,,2.5,,,,2,22
Passeriformes,Pachycephalidae,Pachycephala schlegelii,Regent Whistler,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Pachycephalidae,Pachycephala monacha,Black-headed Whistler,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Pachycephalidae,Pachycephala rufiventris,Rufous Whistler,rufiventris,24.4,77,24.2,70,,,95,68,92.9,63,,,20.7,39,20.9,35,,,17,38,17,35,,,71.9,98,71.2,107,,,2.5,3.28,2,3,2,"1, 22, 31"
Passeriformes,Pachycephalidae,Pachycephala lanioides,White-breasted Whistler,carnarvoni,40.9,35,41,27,,,99.6,25,98.5,17,,,25.9,35,26.1,27,,,25.2,24,25.2,19,,,80,2,80.4,7,,,2,4.55,2,,2,"22, 31"
Passeriformes,Pachycephalidae,Colluricincla megarhyncha,Little Shrike-thrush,normani,35,13,33.1,10,,,93.9,30,91.1,22,,,25.7,29,25.7,22,,,23.2,25,22.6,16,,,,,,,,,2.5,4.4,2,1,2,"1, 22, 31"
Passeriformes,Pachycephalidae,Colluricincla boweri,Bower's Shrike-thrush,,43.3,23,44.4,28,,,105.9,22,106,22,,,27.9,14,28,13,,,26.5,14,26.7,13,,,26.5,14,26.7,13,,,2,6.15,,1,1,"22, 31"
Passeriformes,Pachycephalidae,Colluricincla woodwardi,Sandstone Shrike-thrush,,54.9,23,52.6,5,,,126.1,29,121,6,,,28.9,29,29.2,5,,,30.7,28,30.2,6,,,116,29,112.5,6,,,2.5,6.14,2,1,2,"1, 22, 31"
Passeriformes,Pachycephalidae,Colluricincla harmonica,Grey Shrike-thrush,harmonica,69.2,43,68.4,35,,,131.7,41,128,37,,,30.5,21,31,26,,,27.1,21,26.1,23,,,,,,,,,3,6.81,2,1,2,"1, 22, 31"
Passeriformes,Pachycephalidae,Pitohui ferrugineus,Rusty Pitohui,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Pachycephalidae,Pitohui nigrescens,Black Pitohui,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Neosittidae,Eulacestoma nigropectus,Wattled Ploughbill,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Pinyon Jay,,111,66,99,66,108,,152.14,52,145.2,46,,,37,107,35.81,63,,,35.34,47,33.18,23,,,110.6,51,104,46,,,3.7,7,2,,,"1, 7, 31"
Passeriformes,Corvidae,Cyanocitta cristata,Blue Jay,,72.8,76,70.5,77,,,124.34,49,121.13,49,,,34.5,71,33.81,77,,,25.5,71,24.46,77,,,120,69,115.2,70,,,4.18,5.9,2,1,,"1, 7, 31"
Passeriformes,Corvidae,Cyanocitta stelleri,Steller's Jay,,96,,92,,119,,149,21,149,10,,,46,21,46,10,,,31,21,30,10,,,139,12,137,10,,,3.06,8.1,2,1,2,"1, 7, 31"
Passeriformes,Corvidae,Aphelocoma insularis,Santa Cruz Jay,,124.7,20,111.2,17,,,139.2,45,130.2,39,,,46.1,44,44.3,39,,,23.5,45,22,37,,,157.2,41,146.7,37,,,3.71,7.1,,,,"7, 31"
Passeriformes,Corvidae,Aphelocoma californica,Scrub Jay,caurina,98.4,29,87.7,9,,,123,41,119,30,,,40.7,41,39.8,30,,,19.5,41,18.4,30,,,137.3,22,132.1,25,,,4.05,6.1,,1,2,"7, 31"
Passeriformes,Corvidae,Aphelocoma coerulescens,Florida Jay,,79.3,,74.9,,82.05,,113.8,,111.9,,,,37.4,98,36.6,80,,,26.9,96,25.3,80,,,139.4,96,134.9,78,,,3.27,5.8,2,1,2,"1, 6, 7, 31"
Passeriformes,Corvidae,Aphelocoma ultramarina,Mexican Jay,,131.5,,128.8,,119.65,,166.5,179,163.9,54,,,42.14,43,41.71,29,,,,,,,,25,145.7,42,141.8,28,,,4.14,7.9,2,1,,"1, 7, 31"
Passeriformes,Corvidae,Cyanocorax sanblasianus,San Blas Jay,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,2,,,"1, 31"
Passeriformes,Corvidae,Cyanocorax yncas,Green Jay,,88.3,,76.4,,73,,113,,112,,,,37.6,,37.6,,,,24.9,,24.4,,,,126,,127.5,,,,4,7.1,2,1,2,"1, 7, 31"
Passeriformes,Corvidae,Psilorhinus morio,Brown Jay,,243,,244,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,2,,,"1, 31"
Passeriformes,Corvidae,Garrulus glandarius,Eurasian Jay,,171.6,107,163.5,101,,,186.5,34,181,21,,,43.4,26,42.8,17,,,33.4,33,32.3,21,,,137.5,6,136,9,,,5.7,8.5,,3,1,"13, 27, 31"
Passeriformes,Corvidae,Perisoreus infaustus,Siberian Jay,infaustus,87.6,22,81.8,22,,,144.3,18,140.8,20,,,38.2,17,37.1,20,,,28,15,27,18,,,134.3,18,131.5,20,,,3.5,7.5,,5,,"13, 31"
Passeriformes,Corvidae,Perisoreus canadensis,Grey Jay,canadensis,75.8,84,67.6,91,,,143.2,,139.5,,,,,,,,,,21.3,,,,,,144.4,,,,,,3.02,6.7,,,,"6, 7, 31"
Passeriformes,Corvidae,Cyanopica cyana,Azure-winged Magpie,cooki,73,5,69,4,,,136.7,21,130.1,15,,,35.7,15,34.8,9,,,27.5,14,26.7,9,,,187.1,21,173.4,12,,,6,5.5,,3,,"13, 31"
Passeriformes,Corvidae,Pica pica,Black-billed Magpie,,236,64,220,141,,,204.6,12,192.4,8,,,52.4,13,49.8,13,,,41.1,13,39.5,13,,,268,14,235,16,,,6.1,9.9,2,2,1,"1, 13, 27, 31"
Passeriformes,Corvidae,Pica nuttalli,Yellow-billed Magpie,,166,27,142.1,21,,,190.2,27,180.3,21,,,48.6,21,45.8,21,,,25,21,22.8,22,,,247.7,23,231.7,18,,,5.7,8.1,,,,"7, 31"
Passeriformes,Corvidae,Zavattariornis stresemanni,Stresemann's Bush-Crow,,,,,,,,142,6,139,6,,,41.3,6,40.6,6,,,36.2,6,32.1,6,,,122,6,118,6,,,,5.9,,,,"27, 31"
Passeriformes,Corvidae,Nucifraga columbiana,Clark's Nutcracker,,137,71,123,45,,,192,161,186,90,,,,,,,,,40.1,161,37.7,90,,,115,163,111,87,,,3.06,9.1,,,,"7, 31"
Passeriformes,Corvidae,Nucifraga caryocatactes,Spotted Nutcracker,caryocatactes,198,13,188,13,,,193.2,12,185,6,,,42.1,26,41.4,12,,,49.8,6,48.4,2,,,124,24,121.5,23,,,3.5,10.7,,3,2,"13, 27, 31"
Passeriformes,Corvidae,Pyrrhocorax pyrrhocorax,Red-billed Chough,centralis,273.2,5,236.3,3,,,276,8,271.5,5,,,53,8,50,5,,,54.7,8,52,5,,,144,8,134,5,,,4,16.5,,3,,"13, 27, 31"
Passeriformes,Corvidae,Pyrrhocorax graculus,Yellow-billed Chough,digitatus,248.2,5,212.5,2,,,277.4,10,258.6,7,,,46.9,13,45.1,11,,,34.9,12,34,11,,,169,10,162,6,,,5,16,,3,1,"13, 27, 31"
Passeriformes,Corvidae,Ptilostomus afer,Piapiac,,,,,,,,169,20,166,12,,,48.1,20,47.4,12,,,34,20,34,12,,,262.5,20,266.5,12,,,5,7.2,,,,"27, 31"
Passeriformes,Corvidae,Corvus monedula,Eurasian Jackdaw,spermologus,234,262,215,212,,,239.2,84,230.7,96,,,46.2,53,44.2,51,,,36.3,51,34.5,52,,,131,10,129,10,,,4.5,11.5,2,3,,"1, 13, 27, 31"
Passeriformes,Corvidae,Corvus dauuricus,Daurian Jackdaw,,218,12,191,10,,,233,14,223,12,,,45.7,17,44.7,11,,,34.8,16,32.9,12,,,128.5,14,119.1,12,,,,11.4,,,,"13, 31"
Passeriformes,Corvidae,Corvus splendens,House Crow,,317,,270,,290,,271.4,14,261,11,,,49.1,22,46.4,16,,,51.2,12,47,9,,,166,10,159,10,,,3.9,13.7,2,,,"1, 13, 27, 31"
Passeriformes,Corvidae,Corvus capensis,Cape Crow,,612,1,490,1,,,347,10,333,8,,,73.7,10,70.8,8,,,68.4,10,65.2,8,,,202,10,184,8,,,3.5,22.3,,3,2,"27, 31"
Passeriformes,Corvidae,Corvus frugilegus,Rook,frugilegus,489,162,418,126,,,322.9,47,306.6,54,,,56.9,31,54.1,30,,,,,,,,,170,10,167,10,,,4,16,2,3,,"1, 13, 27, 31"
Passeriformes,Corvidae,Corvus caurinus,Northwestern Crow,,410,9,364,10,,,281.3,29,268.9,17,,,49.2,31,46.9,17,,,32.6,30,31.4,15,,,153.1,22,142.2,11,,,4.02,16.7,,,,"1, 7, 31"
Passeriformes,Corvidae,Corvus brachyrhynchos,American Crow,hesperis,423,30,376.4,20,756,,303.5,100,294.5,100,,,,,,,56.15,,,,,,,,,,,,,,4.68,17.5,2,,2,"1, 7, 31"
Passeriformes,Corvidae,Corvus ossifragus,Fish Crow,,299.9,20,270.2,19,,,284.9,59,270.7,47,,,46.5,64,44.8,50,,,30.7,61,28.3,50,,,156,58,148.5,50,,,4.5,14.1,,,1,"7, 31"
Passeriformes,Corvidae,Corvus corone,Carrion Crow,corone,577,181,512,355,,,330.5,29,318.4,30,,,61.6,22,56.6,31,,,57.9,20,52.3,29,,,181,10,172,10,,,4.5,19.8,2,3,2,"1, 13, 27, 31"
Passeriformes,Corvidae,Corvus coronoides,Australian Raven,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,"1, 31"
Passeriformes,Corvidae,Corvus mellori,Little Raven,,62,,58.2,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
Passeriformes,Corvidae,Corvus hawaiiensis,Hawaiian Crow,,555,3,485,5,,,332,11,322,5,,,66.8,11,61.1,5,,,58.8,11,54.1,5,,,,,,,,,2.8,,,3,,7
Passeriformes,Corvidae,Corvus cryptoleucus,Chihuahuan Raven,,556,76,512,68,,,359,53,348,56,,,60.86,27,59.23,23,,,55.2,21,52.4,15,,,214,53,208,56,,,4.87,21,,,,"7, 31"
Passeriformes,Corvidae,Corvus albus,Pied Crow,,590.5,2,494,4,529,3,358,11,351,10,,,61.3,11,61.7,10,,,60.2,11,58.8,10,,,187,11,188,10,,,4.1,21.8,,1,1,"27, 31"
Passeriformes,Corvidae,Corvus ruficollis,Brown-necked Raven,ruficollis,782.5,2,700,1,,,404.2,8,380.7,8,,,70.7,8,66.1,8,,,71.7,8,65.6,8,,,206,10,205,10,,,4,23.6,,4,,"13, 27, 31"
Passeriformes,Corvidae,Corvus corax,Common Raven,corax,1254,10,1147.1,7,,,430.4,15,412.4,10,,,70.7,26,68.6,20,,,78.1,24,74.5,19,,,214,7,209,4,,,4.1,28.8,2,,2,"1, 13, 27, 31"
